,FACID,facname,factype,facurl,facloc,abouturl,textfromurl
37,77,Chicago House and Social Service Agency,income,http://www.chicagohouse.org/, Metro,http://www.chicagohouse.org/mission-and-history/mission-and-history-2/,"Mission and History Our Mission Chicago House and Social Service agency serves individuals and families who are disenfranchised by HIV/AIDS, LGBTQ marginalization, poverty, homelessness, and/or gender nonconformity by providing housing, employment services, medical linkage and retention services, HIV prevention services, legal services and other supportive programs. Our History In the early years of the HIV/AIDS epidemic in the US, nearly 100 activists met at the historic Baton Show Lounge to address the dire need for housing for Chicagoans living with AIDS.  On September 9, 1985, Chicago House was incorporated in Illinois as not-for-profit the goal of providing housing for those with AIDS. A Chicago House float in the Pride Parade, 1988 During the 1980s, Chicago House emerged as an organization providing a compassionate response to a fearful disease.  We built our infrastructure as we established several facilities to meet the growing and ever-evolving needs of our clients.  Our first residence, opened in February 1986 in Uptown, accommodated 8 individuals in private bedrooms with shared cooking, dining, bathing, and living areas.   We opened two more residences in 1987 and, responding to demand, a 24-hour care program and hospice in 1988 for clients in need of additional support.  In 1992, Chicago House formed the Family Support Program, becoming the first provider of housing and related services to HIV-affected families. Before advances in HIV medication, these early years often meant that we were providing our clients a place to die with dignity after they had been abandoned by friends and family or forced out of their apartments.  An early agency newsletter from 1986 reads, “Through May 15, 1987, Chicago House has provided a home for 28 individuals, all men…. Of the 17 men no longer with Chicago House, 10 are deceased. ”  In these early years, Chicago House was the last home many people had before they died. Early interior of a housing unit in Chicago’s West Town The latter half of the 1990’s, however, ushered in new hope as medical advances came to the fore with the advent of new drug therapies.  As drug advances and approvals began to dominate the news in the AIDS community, increased hope was also somewhat tempered by the reality that the annual cost of drug therapy could easily exceed $20,000 per person. In 2000, the annual AIDS death toll in the United States dropped to 17,741 after it had peaked in 1995 at over 48,000.  Many people with HIV/AIDS found themselves getting better and were confronted with the reality that they now faced rebuilding their lives while living with HIV rather than preparing to die.  In 1997, we bought the building that would house our Independent Living Program, responding to then need that many of those living with HIV/AIDS had to live in a more independent supportive housing program. Then, in 1999, after experiencing empty beds in our hospice facility and increased demand in our other housing programs, Chicago House made the difficult decision to close down the hospice.  Chicago House’s hospice provided essential and compassionate care to over 400 people.  In the four housing facilities that we currently operate, Chicago House now provides permanent supportive housing to more than 100 people each year.   We also provide these residents, along with those living independently in the community, with vital case management services. In 2004, Chicago House became the lead agency on a 5-year project funded by the Centers for Disease Control (CDC).  Running this program, Chicago House helped our HIV-positive clients reach out and protect their peers and partners from infection.  Chicago House continues to run a CDC-funded Prevention With Positives intervention that, in 2013, reached 110 people. Also in 2004, U.S. Senator Dick Durbin visited Chicago House to learn more about our programs and the needs of our clients.  The residents he met with expressed their desire to return to work, but explained the major obstacles that they faced. After listening to their concerns and the efforts of the agency, Senator Durbin helped facilitate a start-up grant to support the initial development and implementation of an HIV employment service system, which became our Employment Services Program.  The program launched in the fall of 2005 with much support from leaders in the HIV and workforce development community and, since its inception, has served nearly 1,000 participants. Chicago House began its Scattered-Site Housing Program, which provides rental assistance and support services to clients, in 2006.  Initially offering 18 apartment units connecting people to housing and employment services, the Scattered-Site Housing Program now manages about 150 units each year. 2013 was another momentous year for Chicago House as we officially launched the TransLife Center (TLC), responding to the great need for culturally-competent, expert social services specifically for transgender individuals.  In the same facility that we once used as a hospice in the early years of the HIV epidemic, we now deliver housing, employment, linkage-to-medical care, case management, and legal services.  With community partners, we are currently leading 5-year Special Project of National Significance funded by the Health Resources and Services Adminsitration to study the link between HIV and retention in care in transgender women of color. "
38,77,Chicago House and Social Service Agency,income,http://www.chicagohouse.org/, Metro,http://www.chicagohouse.org/?page_id=910,"Mission and History Our Mission Chicago House and Social Service agency serves individuals and families who are disenfranchised by HIV/AIDS, LGBTQ marginalization, poverty, homelessness, and/or gender nonconformity by providing housing, employment services, medical linkage and retention services, HIV prevention services, legal services and other supportive programs. Our History In the early years of the HIV/AIDS epidemic in the US, nearly 100 activists met at the historic Baton Show Lounge to address the dire need for housing for Chicagoans living with AIDS.  On September 9, 1985, Chicago House was incorporated in Illinois as not-for-profit the goal of providing housing for those with AIDS. A Chicago House float in the Pride Parade, 1988 During the 1980s, Chicago House emerged as an organization providing a compassionate response to a fearful disease.  We built our infrastructure as we established several facilities to meet the growing and ever-evolving needs of our clients.  Our first residence, opened in February 1986 in Uptown, accommodated 8 individuals in private bedrooms with shared cooking, dining, bathing, and living areas.   We opened two more residences in 1987 and, responding to demand, a 24-hour care program and hospice in 1988 for clients in need of additional support.  In 1992, Chicago House formed the Family Support Program, becoming the first provider of housing and related services to HIV-affected families. Before advances in HIV medication, these early years often meant that we were providing our clients a place to die with dignity after they had been abandoned by friends and family or forced out of their apartments.  An early agency newsletter from 1986 reads, “Through May 15, 1987, Chicago House has provided a home for 28 individuals, all men…. Of the 17 men no longer with Chicago House, 10 are deceased. ”  In these early years, Chicago House was the last home many people had before they died. Early interior of a housing unit in Chicago’s West Town The latter half of the 1990’s, however, ushered in new hope as medical advances came to the fore with the advent of new drug therapies.  As drug advances and approvals began to dominate the news in the AIDS community, increased hope was also somewhat tempered by the reality that the annual cost of drug therapy could easily exceed $20,000 per person. In 2000, the annual AIDS death toll in the United States dropped to 17,741 after it had peaked in 1995 at over 48,000.  Many people with HIV/AIDS found themselves getting better and were confronted with the reality that they now faced rebuilding their lives while living with HIV rather than preparing to die.  In 1997, we bought the building that would house our Independent Living Program, responding to then need that many of those living with HIV/AIDS had to live in a more independent supportive housing program. Then, in 1999, after experiencing empty beds in our hospice facility and increased demand in our other housing programs, Chicago House made the difficult decision to close down the hospice.  Chicago House’s hospice provided essential and compassionate care to over 400 people.  In the four housing facilities that we currently operate, Chicago House now provides permanent supportive housing to more than 100 people each year.   We also provide these residents, along with those living independently in the community, with vital case management services. In 2004, Chicago House became the lead agency on a 5-year project funded by the Centers for Disease Control (CDC).  Running this program, Chicago House helped our HIV-positive clients reach out and protect their peers and partners from infection.  Chicago House continues to run a CDC-funded Prevention With Positives intervention that, in 2013, reached 110 people. Also in 2004, U.S. Senator Dick Durbin visited Chicago House to learn more about our programs and the needs of our clients.  The residents he met with expressed their desire to return to work, but explained the major obstacles that they faced. After listening to their concerns and the efforts of the agency, Senator Durbin helped facilitate a start-up grant to support the initial development and implementation of an HIV employment service system, which became our Employment Services Program.  The program launched in the fall of 2005 with much support from leaders in the HIV and workforce development community and, since its inception, has served nearly 1,000 participants. Chicago House began its Scattered-Site Housing Program, which provides rental assistance and support services to clients, in 2006.  Initially offering 18 apartment units connecting people to housing and employment services, the Scattered-Site Housing Program now manages about 150 units each year. 2013 was another momentous year for Chicago House as we officially launched the TransLife Center (TLC), responding to the great need for culturally-competent, expert social services specifically for transgender individuals.  In the same facility that we once used as a hospice in the early years of the HIV epidemic, we now deliver housing, employment, linkage-to-medical care, case management, and legal services.  With community partners, we are currently leading 5-year Special Project of National Significance funded by the Health Resources and Services Adminsitration to study the link between HIV and retention in care in transgender women of color. "
39,80,Clearbrook,income,http://www.clearbrook.org/, North-Northwest,https://www.clearbrook.org/aboutus/,"About Us 
What began modestly as a small group of parents in Rolling Meadows hoping to establish a “school for their special needs children” has expanded significantly to reflect the current needs of families with children diagnosed with developmental delays, as well as adults with intellectual/developmental disabilities, most notably those with Autism Spectrum Disorder. ClearBrook Today We serve people over a range of ages and disabilities from children diagnosed with developmental delays at birth to the unique needs of seniors with disabilities and all ages in between. Quick Facts Shining Star Ball shining star ball WHEN
Friday, April 28, 2017 Time: 6:30 PM – 11:30 PM WHERE
Four Seasons Chicago Hotel
120 E Delaware Pl
Chicago, IL 60611  View Event Map  Register  Event Calendar Connect with Clearbrook 
 View Our Videos
 Sign up for our Newsletter Sign up to get the latest about Clearbrook programs, events, and more! Quick Links For Employees Careers at Clearbrook Join our team to help further our mission! Current Openings
 contact Clearbrook Clearbrook "
40,80,Clearbrook,income,http://www.clearbrook.org/, North-Northwest,https://www.clearbrook.org/aboutus/our-mission/,"Our Mission Our Mission Clearbrook is committed to being a leader in creating innovative opportunities, services and supports to people with disabilities. We serve people over a range of ages and disabilities from children diagnosed with developmental delays at birth to the unique needs of seniors with disabilities and all ages in between. Annually, we support over 8,000 individuals as well as their families in 15 counties, in over 160 communities and 50 locations throughout Chicago, the suburbs, and northern Illinois. We are proud to be the largest provider of home-based services in Illinois. Clearbrook is a 501(c)3 organization, licensed, certified and/or accredited by the Illinois Department of Human Services, Illinois Department of Public Health, Illinois Department of Rehabilitation Services, SourceAmerica and the US Department of Labor. Connect with Clearbrook 
 View Our Videos
 Sign up for our Newsletter Sign up to get the latest about Clearbrook programs, events, and more! Quick Links For Employees Careers at Clearbrook Join our team to help further our mission! Current Openings
 contact Clearbrook Clearbrook "
41,80,Clearbrook,income,http://www.clearbrook.org/, North-Northwest,https://www.clearbrook.org/programs-and-services/,"Programs and Services For more than 6 decades, Clearbrook has been providing top-quality programming and services to children and adults across a variety of disabilities. We offer personalized children’s, adult day, employment, residential and clinical services at more than 50 locations throughout Chicagoland. In addition, Clearbrook is the largest provider of home-based services in the state of Illinois. We invite you to learn more by reviewing our webpages or calling Clearbrook’s Director of Admissions, Melinda Meyer, at 847.870.7711. Shining Star Ball shining star ball WHEN
Friday, April 28, 2017 Time: 6:30 PM – 11:30 PM WHERE
Four Seasons Chicago Hotel
120 E Delaware Pl
Chicago, IL 60611  View Event Map  Register  Event Calendar Connect with Clearbrook 
 View Our Videos
 Sign up for our Newsletter Sign up to get the latest about Clearbrook programs, events, and more! Quick Links For Employees Careers at Clearbrook Join our team to help further our mission! Current Openings
 contact Clearbrook Clearbrook "
42,83,DuPage PADS,income,http://dupagepads.org/, West Suburban,http://dupagepads.org/about/,"About DuPagePads DuPagePads´ Mission is to End Homelessness in DuPage County. Hello, I believe that in DuPage County, we can all do something incredible; we can work together to offer people hope and possibility. We are focused on results and committed to the promise we made to end homelessness in our community. You, our donors, partners, and volunteers make DuPagePads an agency of positive change in the lives of people in crisis in DuPage County. Thank you for your inspiration, commitment, and energy! I challenge each one of us to be visionaries. Partner with us — invest in our mission and envision a county where everyone can have a place to call home. Gratefully, Carol Simler
Executive Director DuPagePads is so much more than a pad on the floor. DuPagePads is about the journey home. It’s about the journey from dependency to self-sufficiency. Not the shelter. Not the nights spent in a car, in a motel room or on the street. DuPagePads is a journey that begins with an extended hand, an affirming voice, and a trusting soul that will advocate undividedly for each individual. The solution to end homelessness. Starts with housing. The solution to end homelessness is more complex than providing individuals with food and shelter. Founded in 1985, DuPagePads is the largest provider of interim and permanent housing, coupled with support services in order to help individuals work toward becoming self-sufficient. These vital support services enable the individuals we help to receive case management and life coaching, employment support such as job coaching, as well as engagement with employers—effectively stopping the cycle of homelessness. DuPagePads IS the solution to end homelessness—because when someone believes in you, everything can change.  Click here to find more success stories. Click here for our agency brochure     Search About DuPagePads Contact DuPagePads 601 West Liberty, Wheaton, IL 60187
Phone: (630) 682·3846 Contact Us  Join Our E-Mail List Upcoming Events 11th Annual Taste of Hope
Thursday, March 2, 2017, 6:00pm-9:00pm  Experience signature dishes from 25 of the area’s leading upscale restaurants in one evening at Drury Lane. Guests can enjoy wine pairings, unforgettable live and silent auction items, mobile bidding, raffles and more!
Learn More  Latest Tweets Hosting Congregations Full List of Support Congregations Community Benefactors Community Partnerships "
43,87,"Family Shelter Service, Inc.",income,http://www.familyshelterservice.org/, West Suburban,http://www.familyshelterservice.org/about-us/,"About Us  Welcome! As Executive Director of Family Shelter Service, I am pleased to welcome you to our website. The Family Shelter Service website is an easy way for you to learn about the agency’s mission of providing help and hope for victims of domestic abuse and their families. On our website, you will find information that will keep you current on developments in the agency and will empower you to make a difference. I encourage you to use our website as a gateway to our programs and services, special events, giving opportunities, and domestic abuse resources. On behalf of all of us at Family Shelter Service, thank you for visiting and for your interest in creating a safe community for all. Judie Caribeaux   Benefit Family Shelter Service when you shop Amazon Our Mission 
  Annual Report FY 2014-15 Next Training April 29-May 20 Next Training April 29-May 20 Visit our Story Project website Family Shelter Service FY 2014-15 Annual Report Family Shelter Journals 
(c) 2014 Family Shelter Service - 605 E. Roosevelt Road Wheaton, Illinois 60187 | Tel: 630-221-8290 | Fax: 630-221-8098 | Hotline: 630-469-5650
 "
44,87,"Family Shelter Service, Inc.",income,http://www.familyshelterservice.org/, West Suburban,http://www.familyshelterservice.org/family-shelters-two-second-chance-resale-shops/,"The Second Chance Resale Shops: A place where our clients can shop free of charge and a revenue stream to support our mission   Family Shelter’s two Second Chance resale shops serve several important functions for our organization: Stop by and say “hi” sometime. We’d love to have you browse our fabulous stores. Or give us a call at the phone numbers below. Hours (both locations):  Mon., Wed., Fri., Sat.: 10 a.m. – 5 p.m. Tues. & Thurs.: 10 a.m. – 8 p.m. Donations accepted Mon.-Sat. 10 a.m. – 4 p.m.   South Store: 1131 Fairview Ave., Westmont  Corner of Fairview & 63rd 630-241-7268   Central Store: 1512 N. Naper Blvd., Naperville  Corner of Naper & Ogden 630-955-9599 Benefit Family Shelter Service when you shop Amazon Our Mission 
  Annual Report FY 2014-15 Next Training April 29-May 20 Next Training April 29-May 20 Visit our Story Project website Family Shelter Service FY 2014-15 Annual Report Family Shelter Journals 
(c) 2014 Family Shelter Service - 605 E. Roosevelt Road Wheaton, Illinois 60187 | Tel: 630-221-8290 | Fax: 630-221-8098 | Hotline: 630-469-5650
 "
45,91,"Heartland Human Care Services, Inc.",income,http://www.heartlandalliance.org/, Metro,https://www.heartlandalliance.org/vision," Vision & Strategy Equity.
Opportunity.
For all. We believe society is better for everyone when all of us can participate, prosper, and reach our full potential. TAKING ON SOCIETY’S TOUGHEST PROBLEMS We are not afraid. We listen and learn. We figure out what needs to be done, and we work with others to do it. Heartland Alliance pairs direct services with research and advocacy to achieve lasting change.  Healing and Justice » Heartland Alliance believes that solutions reside in individuals and in our communities. We believe that there can be no healing without justice, and no justice without healing.  Addressing Violence » No matter where in the world we work, no matter how promising the opportunity, violence is getting in the way. It’s disrupting lives and hurting all of us.  We need partners, advocates, dreamers, investors, analysts, and doers. We need YOU.       Stay connected with Heartland Alliance          ABOUT   |   BOARD LOGIN   |   PROGRAM DIRECTORY   |   CAREERS   |   PRIVACY POLICY   |   CONTACT US Copyright 2017, Heartland Alliance is a nonprofit, nonpartisan, nonsectarian organization. 208 S. LaSalle Street, Suite 1300, Chicago, IL 60604, 312.660.1300 We do not endorse candidates for political office. "
46,91,"Heartland Human Care Services, Inc.",income,http://www.heartlandalliance.org/, Metro,https://www.heartlandalliance.org/get-informed/,"$(document).ready(function() {
	$('#headerbutton').click(function() {
  ga('send', 'event', 'donatebutton', 'click', 'Header');
});
});
$('#twofifty').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Two-Fifty');
});
$('#onehundred').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'One-Hundred');
});
$('#fifty').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Fifty');
});
$('#other').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Other');
});
$('#headerbutton').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Header');
});
$('#donatepagebutton').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Donate Page');
});
$('#homepagebutton').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Homepage Donate CTA');
});
$('#emailsignupbutton').on('click', function() {
  ga('send', 'event', 'emailsignup', 'click', 'Email Signup');
});
$('#internationallogo').on('click', function() {
  ga('send', 'event', 'companylogo', 'click', 'International');
});
$('#healthlogo').on('click', function() {
  ga('send', 'event', 'companylogo', 'click', 'Health');
});
$('#housinglogo').on('click', function() {
  ga('send', 'event', 'companylogo', 'click', 'Housing');
});
$('#humancarelogo').on('click', function() {
  ga('send', 'event', 'companylogo', 'click', 'Human Care');
});
$('#programdirectorylink').on('click', function() {
  ga('send', 'event', 'programdirectory', 'click', 'Program Directory');
});
$('#twitterlink').on('click', function() {
  ga('send', 'event', 'socialmedia', 'click', 'Twitter');
});
$('#facebooklink').on('click', function() {
  ga('send', 'event', 'socialmedia', 'click', 'Facebook');
});
$('#youtubelink').on('click', function() {
  ga('send', 'event', 'socialmedia', 'click', 'YouTube');
});     Get Informed Poverty, Homelessness, Injustice End Here If you believe that every life can change, 
we’ve got more to share.     Stay connected with Heartland Alliance          ABOUT   |   BOARD LOGIN   |   PROGRAM DIRECTORY   |   CAREERS   |   PRIVACY POLICY   |   CONTACT US Copyright 2017, Heartland Alliance is a nonprofit, nonpartisan, nonsectarian organization. 208 S. LaSalle Street, Suite 1300, Chicago, IL 60604, 312.660.1300 We do not endorse candidates for political office. "
47,91,"Heartland Human Care Services, Inc.",income,http://www.heartlandalliance.org/, Metro,https://www.heartlandalliance.org/about/,"$(document).ready(function() {
	$('#headerbutton').click(function() {
  ga('send', 'event', 'donatebutton', 'click', 'Header');
});
});
$('#twofifty').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Two-Fifty');
});
$('#onehundred').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'One-Hundred');
});
$('#fifty').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Fifty');
});
$('#other').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Other');
});
$('#headerbutton').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Header');
});
$('#donatepagebutton').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Donate Page');
});
$('#homepagebutton').on('click', function() {
  ga('send', 'event', 'donatebutton', 'click', 'Homepage Donate CTA');
});
$('#emailsignupbutton').on('click', function() {
  ga('send', 'event', 'emailsignup', 'click', 'Email Signup');
});
$('#internationallogo').on('click', function() {
  ga('send', 'event', 'companylogo', 'click', 'International');
});
$('#healthlogo').on('click', function() {
  ga('send', 'event', 'companylogo', 'click', 'Health');
});
$('#housinglogo').on('click', function() {
  ga('send', 'event', 'companylogo', 'click', 'Housing');
});
$('#humancarelogo').on('click', function() {
  ga('send', 'event', 'companylogo', 'click', 'Human Care');
});
$('#programdirectorylink').on('click', function() {
  ga('send', 'event', 'programdirectory', 'click', 'Program Directory');
});
$('#twitterlink').on('click', function() {
  ga('send', 'event', 'socialmedia', 'click', 'Twitter');
});
$('#facebooklink').on('click', function() {
  ga('send', 'event', 'socialmedia', 'click', 'Facebook');
});
$('#youtubelink').on('click', function() {
  ga('send', 'event', 'socialmedia', 'click', 'YouTube');
});     About Us  Heartland Alliance, one of the world’s leading anti-poverty organizations, works in communities in the U.S. and abroad to serve those who are homeless, living in poverty, or seeking safety. It provides a comprehensive array of services in the areas of health, housing, jobs and justice – and leads state and national policy efforts, which target lasting change for individuals and society. Mission Heartland Alliance advances the human rights and responds to the human needs of endangered populations—particularly the poor, the isolated, and the displaced—through the provision of comprehensive and respectful services and the promotion of permanent solutions leading to a more just global society.  MENU Poverty, Homelessness, Injustice End Here If you believe that every life can change, 
we’ve got more to share.     Stay connected with Heartland Alliance          ABOUT   |   BOARD LOGIN   |   PROGRAM DIRECTORY   |   CAREERS   |   PRIVACY POLICY   |   CONTACT US Copyright 2017, Heartland Alliance is a nonprofit, nonpartisan, nonsectarian organization. 208 S. LaSalle Street, Suite 1300, Chicago, IL 60604, 312.660.1300 We do not endorse candidates for political office. "
48,94,Inspiration Corporation,income,http://www.inspirationcorp.org/, Metro,http://www.inspirationcorp.org/about-pages-15.php,"Our Story  Inspiration Corporation was founded in 1989 by Lisa Nigro, a police officer who wanted to make a difference in the lives of the people she encountered on her beat. Click here to read the full story. about Mission: In an atmosphere of dignity and respect, Inspiration Corporation helps people who are affected by homelessness and poverty to improve their lives and increase self-sufficiency through the provision of social services, employment training and placement, and housing. Recent Tweets  If you are interested in finding out more information on Inspiration Kitchens, including information on catering or restaurant hours, menus and location: Through its supportive services, employment, and housing programs, Inspiration Corporation assists more than 2,500 individuals and families affected by homelessness and poverty each year - serving as a catalyst for self-reliance... learn more > "
49,99,Ladder Up,income,http://www.goladderup.org/," Metro, West Suburban",http://www.goladderup.org/about/,"About Us Our Mission Ladder Up provides hardworking people with the financial resources
and opportunities they need to move up the economic ladder. Ladder Up provides free financial programs to help clients secure the tax refunds they deserve, gain the knowledge to navigate today’s complex financial systems, and obtain financial aid to make college dreams a reality.  Comments are closed About Us About Us Ladder Up provides hardworking people with the financial  resources and opportunities they need to move up the  economic ladder. We provide free tax return preparation, college financial  aid application assistance, and practical money  management workshops. Your Privacy is important to us. Please click to view our Privacy Policy. Ladder Up233 S. Wacker DriveSuite 4620Chicago, IL 60606-6405 (312) 409-1555 Contact Us "
50,104,Little City Foundation,income,https://www.littlecity.org/, North-Northwest,https://www.littlecity.org/about/,"About Us Established in 1959, Little City was founded by a group of parents who dreamed of a unique and revolutionary environment for their children who “experts” often said should be institutionalized. Today, Little City is a vital and vibrant community offering a comprehensive scope of services and amenities to individuals with intellectual and developmental disabilities.  Our founding principles along with a therapeutic community approach, continue to guide the programs and services for children and adults of all ages, enabling Little City to create hope, change lives and challenge the limits placed on individuals with disabilities. Mission To ensure that people with intellectual and developmental disabilities are provided with the best options and opportunities to live safely, work productively, explore creatively and learn continuously throughout their lifetime. 
Give Today
 Leadership     Board of Directors Matthew B. Schubert, Paramount Staffing
B. Timothy Desmond, Central Station Development Corporation
David A. Rose, Coldwell Banker Residential Brokerage
Douglas A. Wilson, Breakthrough Technologies, LLC
Charles G. Fergus, Office of the Attorney General
Jeffrey A. Krug, J. Krug & Associates, Inc
Alex G. Alexandrou, City of Aurora
John G. George, Schuyler, Riche and Crisham, P.C.
Ronald Ally, William Rainey Harper College
David Bishop, Fifth Third Bank
Eleni P. Bousis, Greek American Rehabilitation and Care Centre
Michele A. Carlin, HR Policy Association
Vernon L. Carson
William Chepulis, Zurich Insurance Company
John M. Duffey, Six Flags Great America
Jennifer Gavelek, Mesirow Financial Corporation
Alexander A. Gianaras, Transformer Manufacturers, Inc
Mitchell A. Kovitz, Kovitz Investment Group
Joan M. Lebow, Thompson Coburn, LLP
Daniel N. Luber, Armor Wealth Group
Marcus D. Montanye, The PrivateBank
David J. Pfau, Peak DB Systems, LLC
James H. Stone, Stone Management Corporation
James V. Testa, Show Sage, LLC 
View Board of Advisors
 There are so many capable and caring staff at Little City, past and present, who have helped Clifford. He has made a lot of progress in mastering his behavior. Colleen, Mother of a child living in a ChildBridge Group Home E-Newsletter Connect With Us Work For Us View Job Openings 
							© 2017 Little City Foundation | Site design by Blackbaud
						 Accreditations 
 "
51,104,Little City Foundation,income,https://www.littlecity.org/, North-Northwest,https://www.littlecity.org/programs/children/dayschool/,"Therapeutic Day School The newly expanded ChildBridge Center for Education is an innovative and adaptive sensory-sensitive facility designed to reduce anxiety and drive academic learning. For individuals with intellectual and developmental disabilities, as well as students with severe and profound needs on the autism spectrum, the day school will “bridge” education and each child’s developmental abilities enabling them to reach their fullest potential. About ChildBridge Center for Education Approved by the Illinois State Board of Education, the ChildBridge Center for Education collaborates with each child’s home school district and develops an Individualized Education Program (IEP) that provides personalized therapies and intervention services to address the student’s unique educational needs. Our goal is to focus on the education, therapeutic and life skills areas that most directly affect the student. View Our Brochure       Inquire Impact Secure Your Spot Little City has opened admissions for a limited number of additional students. Contact us today for more information. Contact our Intake Coordinator Raise Awareness You can raise awareness about autism and support our autism awareness campaign. 
View autism resouces
 You Can Help In a typical classroom, the teacher to child ratio is 2:5. However, some classrooms may have a 6:5 teacher to child ratio depending on student needs.Contact us today to schedule a private tour of our school. Contact Us Offerings We provide comprehensive educational services and therapies including computer-based instruction, assistive technology devices and augmentative communication instruction (such as PECS, AAC devices and adaptive apps). All students have access to iPads within their classrooms that are customized to their learning and communication styles. Additionally there is a specially designed playground, a unique recreation center, gymnasium, as well as other leading-edge services.
Contact Us Events Check back to view the latest events offered by Little City’s ChildBridge Center for Education. We also provide tours of the therapeutic day school upon request. View Calendar “Little City uses an affirming message – that it’s a good world, there’s a place for my kids in the world and Little City will help them find it.” Rachel, mother of children receiving home-based support services E-Newsletter Connect With Us Work For Us View Job Openings 
							© 2017 Little City Foundation | Site design by Blackbaud
						 Accreditations 
 "
52,105,Lutheran Child and Family Services of Illinois,income,http://www.lcfs.org/, South-Southwest,https://www.lcfs.org/about-us/mission-vision/,"   Mission & Vision In response to God’s love, Lutheran Child and Family Services of Illinois engages with youth, adults, families, communities and other stakeholders to improve the well-being of those we are called to serve.   Who We Are Lutheran Child and Family Services of Illinois (LCFS) is a leading provider of a comprehensive range of community-based social services. We annually improve the well-being of approximately 16,000 people across the state by nurturing and protecting children, strengthening families and enhancing communities. We serve children, individuals, families and communities of all faiths, races, orientations and ethnic backgrounds. Mission Statement In response to God’s love, Lutheran Child and Family Services of Illinois engages with youth, adults, families, communities and other stakeholders to improve the well-being of those we are called to serve. Vision Statement It is the Vision of LCFS, as a Lutheran Social Ministry Organization, to be a means for people of faith to carry out God’s will for His people, to show mercy, to do justice and love our neighbor. About LCFS LCFS traces its roots to 1873 when several Lutheran churches in northern Illinois established the German Evangelical Lutheran Orphan Home in Addison, Illinois. Opening its doors that year to six young children, the orphan home grew quickly and expanded its services over the years. Today, LCFS has more than 400 employees at more than 20 office sites across Illinois and in neighboring states partnering to provide impactful and values-driven services for the betterment of those we serve.   Navigation Links Contact Us 
                        	Lutheran Child and Family Services of Illinois 
							7620 Madison Street
							River Forest, IL 60305
							Phone : 708-771-7180
							Fax : 708-771-7184
							Email : lcfs_info@lcfs.org 
							Central Intake and Information & 
                            Referral: 800-363-LCFS (5237) 
 Hours "
